,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,saldanha,82,ZA,1619266501,41,-33.0117,17.9442,78.8,6.91
85,port-gentil,75,GA,1619266502,66,-0.7193,8.7815,87.8,4.61
86,nabire,100,ID,1619266503,89,-3.3667,135.4833,76.98,2.04
87,kurilsk,100,RU,1619266503,96,45.2333,147.8833,34.47,4.21
88,hilo,75,US,1619266503,78,19.7297,-155.09,71.6,3.36
89,fare,99,PF,1619266504,74,-16.7,-151.0167,79.38,6.22
90,nikolskoye,75,RU,1619266504,65,59.7035,30.7861,43.0,2.24
91,mongo,59,TD,1619266505,16,12.1844,18.693,103.71,4.12
92,morondava,0,MG,1619266505,59,-20.2833,44.2833,83.71,9.91
93,koygorodok,86,RU,1619266505,65,60.445,50.9968,49.03,8.05
94,butaritari,73,KI,1619266506,75,3.0707,172.7902,81.86,8.25
95,mutsu,75,JP,1619266506,87,41.2894,141.2169,55.99,8.05
96,whitehorse,20,CA,1619266506,59,60.7161,-135.0538,30.2,4.61
97,vao,100,NC,1619266507,68,-22.6667,167.4833,76.28,9.98
98,san quintin,67,MX,1619266507,22,30.4833,-115.95,44.01,4.0
99,okato,37,NZ,1619266508,85,-39.2,173.8833,52.0,5.99
100,rio grande,75,BR,1619266327,100,-32.035,-52.0986,64.4,8.05
101,lancaster,1,US,1619266441,61,40.2504,-76.2499,51.01,3.44
102,qarchi gak,20,AF,1619266508,9,37.04,66.7889,87.8,6.91
103,mumford,100,GH,1619266508,72,5.2618,-0.759,85.23,12.91
104,te anau,40,NZ,1619266509,87,-45.4167,167.7167,45.01,5.79
105,hithadhoo,80,MV,1619266509,67,-0.6,73.0833,83.79,5.17
106,pemangkat,79,ID,1619266510,74,1.1667,108.9667,83.12,9.42
107,pangnirtung,93,CA,1619266510,83,66.1451,-65.7125,32.49,3.44
108,qaanaaq,82,GL,1619266510,66,77.484,-69.3632,20.57,9.26
109,rio gallegos,0,AR,1619266511,93,-51.6226,-69.2181,35.6,4.61
110,new norfolk,90,AU,1619266511,80,-42.7826,147.0587,52.0,5.66
111,akdagmadeni,42,TR,1619266512,33,39.6603,35.8836,66.07,7.11
112,flinders,45,AU,1619266512,78,-34.5833,150.8552,55.99,1.01
113,eidsvag,20,NO,1619266513,52,62.7767,8.0668,41.0,10.36
114,spearfish,90,US,1619266513,86,44.4908,-103.8594,28.0,4.61
115,port elizabeth,0,ZA,1619266513,68,-33.918,25.5701,69.8,8.05
116,viedma,49,AR,1619266514,68,-40.8135,-62.9967,56.79,14.83
117,safford,1,US,1619266514,32,32.834,-109.7076,50.0,3.44
118,beringovskiy,91,RU,1619266338,99,63.05,179.3167,23.68,3.44
119,lubao,75,PH,1619266514,61,14.9167,120.55,84.2,6.91
120,savannah bight,0,HN,1619266515,69,16.45,-85.85,80.01,23.2
121,walvis bay,0,NA,1619266515,47,-22.9575,14.5053,77.0,8.05
122,marion,90,US,1619266515,71,39.7684,-86.1555,50.0,6.91
123,severo-kurilsk,96,RU,1619266516,95,50.6789,156.125,35.71,3.87
124,chara,15,RU,1619266516,77,56.9064,118.2631,26.24,3.2
125,khash,0,IR,1619266516,5,28.2211,61.2158,88.99,0.81
126,norfolk,1,US,1619266517,41,42.1668,-71.2495,55.4,5.75
127,khatanga,100,RU,1619266517,96,71.9667,102.5,32.83,15.95
128,jiangyou,96,CN,1619266517,67,31.7667,104.7167,67.53,4.85
129,usogorsk,89,RU,1619266518,42,63.4106,48.6872,56.57,11.34
130,beihai,7,CN,1619266518,83,21.4833,109.1,80.56,4.97
131,rafai,99,CF,1619266518,41,4.95,23.9167,92.8,2.35
132,saint-augustin,100,CA,1619266518,98,51.226,-58.6502,33.62,10.27
133,gat,1,IL,1619266519,51,31.61,34.7642,79.0,3.0
134,bandarbeyla,64,SO,1619266519,62,9.4942,50.8122,87.13,11.68
135,key largo,99,US,1619266519,65,25.0865,-80.4473,78.01,5.99
136,saskylakh,100,RU,1619266520,97,71.9167,114.0833,33.64,13.98
137,taitung,75,TW,1619266520,100,22.7583,121.1444,69.8,5.75
138,havoysund,75,NO,1619266520,69,70.9963,24.6622,32.0,9.22
139,manali,20,IN,1619266521,66,13.1667,80.2667,87.8,8.05
140,arraial do cabo,0,BR,1619266521,78,-22.9661,-42.0278,75.2,9.22
141,nouadhibou,0,MR,1619266521,60,20.931,-17.0347,75.2,12.66
142,cravo norte,39,CO,1619266521,54,6.3017,-70.2041,82.92,8.5
143,oda,0,JP,1619266522,82,35.1833,132.5,59.0,2.3
144,codrington,59,AU,1619266522,82,-38.2667,141.9667,52.9,4.74
145,pilar do sul,48,BR,1619266523,82,-23.8131,-47.7164,64.51,2.48
146,kavaratti,4,IN,1619266523,67,10.5669,72.642,85.44,7.47
147,koumac,97,NC,1619266523,87,-20.5667,164.2833,76.15,8.66
148,sao goncalo dos campos,69,BR,1619266524,68,-12.4333,-38.9667,80.94,6.64
149,vostok,66,RU,1619266524,49,46.4856,135.8833,35.35,9.93
150,pozo colorado,55,PY,1619266524,87,-23.4923,-58.7972,69.49,2.51
151,talnakh,100,RU,1619266524,99,69.4865,88.3972,33.39,7.96
152,norrtalje,75,SE,1619266525,60,59.758,18.705,39.99,17.27
153,hagere selam,87,ET,1619266525,74,6.4833,38.5167,61.41,4.83
154,kemin,100,KG,1619266525,39,42.7846,75.6892,55.51,3.09
155,abu samrah,82,SY,1619266526,16,35.3029,37.1841,89.98,6.49
156,dikson,100,RU,1619266526,97,73.5069,80.5464,28.0,20.65
157,barrow,1,US,1619266526,86,71.2906,-156.7887,17.6,5.75
158,lagodekhi,40,GE,1619266526,49,41.8268,46.2767,69.8,9.22
159,abu kamal,80,SY,1619266527,10,34.4506,40.9171,91.78,1.74
160,malaya serdoba,100,RU,1619266527,55,52.4661,44.9512,56.73,19.6
161,sechelt,100,CA,1619266527,92,49.4664,-123.7694,48.99,1.7
162,lorengau,78,PG,1619266528,78,-2.0226,147.2712,80.65,4.65
163,sur,0,OM,1619266528,33,22.5667,59.5289,94.41,6.08
164,brownsville,90,US,1619266251,94,25.9018,-97.4975,73.99,5.61
165,dukat,71,RU,1619266528,99,62.55,155.55,-6.81,4.9
166,geraldton,0,AU,1619266528,83,-28.7667,114.6,69.8,10.36
167,zelenodolsk,90,RU,1619266529,62,55.8438,48.5178,50.0,11.18
168,russell,90,US,1619266529,100,32.3502,-85.1999,59.0,12.66
169,majitha,0,IN,1619266529,25,31.7583,74.9544,87.8,14.97
170,ahipara,52,NZ,1619266530,85,-35.1667,173.1667,60.39,8.01
171,menongue,46,AO,1619266530,25,-14.6585,17.691,83.86,5.57
172,chengde,3,CN,1619266530,53,40.9725,117.9361,56.59,3.8
173,valparaiso,0,CL,1619266531,93,-33.0393,-71.6273,55.0,2.3
174,ambilobe,24,MG,1619266531,56,-13.2,49.05,88.88,8.55
175,mozarlandia,51,BR,1619266531,47,-14.7447,-50.5706,78.28,4.68
176,mezen,94,RU,1619266532,37,65.8522,44.24,62.06,11.32
177,nuristan,41,AF,1619266532,49,35.3,70.8333,43.34,2.86
178,constitucion,43,CL,1619266532,84,-35.3333,-72.4167,53.37,5.7
179,matane,75,CA,1619266533,70,48.8286,-67.522,41.0,16.11
180,bethel,1,US,1619266533,38,41.3712,-73.414,55.4,8.05
181,lima,90,PE,1619266384,94,-12.0432,-77.0282,63.0,4.61
182,vanimo,93,PG,1619266533,84,-2.6741,141.3028,79.09,2.35
183,huarmey,25,PE,1619266533,90,-10.0681,-78.1522,66.45,6.96
184,tabou,96,CI,1619266534,68,4.423,-7.3528,86.81,10.42
185,tema,20,GH,1619266534,62,5.667,-0.0166,89.6,14.97
186,tecoanapa,93,MX,1619266534,64,16.5167,-98.75,75.74,3.56
187,port macquarie,53,AU,1619266535,99,-31.4333,152.9167,55.99,5.14
188,burnie,79,AU,1619266459,75,-41.0667,145.9167,50.0,5.99
189,tanete,58,ID,1619266535,90,-3.9443,119.7848,76.66,2.26
190,mount gambier,40,AU,1619266536,93,-37.8333,140.7667,51.8,5.75
191,kumano,20,JP,1619266536,67,34.3442,132.5894,64.4,2.3
192,muzhi,21,RU,1619266536,78,65.3667,64.6667,43.75,3.71
193,hambantota,40,LK,1619266537,74,6.1241,81.1185,89.6,8.05
194,bucerias,20,MX,1619266399,88,20.75,-105.3333,71.01,3.44
195,shimoda,100,JP,1619266537,47,34.6667,138.95,62.01,2.68
196,norsup,96,VU,1619266537,83,-16.0667,167.3833,80.89,7.87
197,madison,90,US,1619266503,93,34.7334,-86.5667,53.01,16.11
198,aklavik,99,CA,1619266538,64,68.2191,-135.0107,30.2,5.75
199,nizhnevartovsk,90,RU,1619266538,87,60.9344,76.5531,42.8,2.24
200,mar del plata,40,AR,1619266538,88,-38.0023,-57.5575,66.0,8.05
201,provideniya,98,RU,1619266539,82,64.3833,-173.3,32.83,1.1
202,ocho rios,52,JM,1619266539,93,18.4025,-77.1048,77.0,10.33
203,pacific grove,90,US,1619266539,81,36.6177,-121.9166,51.01,4.61
204,castro,19,BR,1619266539,72,-24.7911,-50.0119,62.01,2.3
205,tsurib,21,RU,1619266540,34,42.2368,46.8307,62.89,3.44
206,sarakhs,37,IR,1619266540,26,36.5449,61.1577,86.0,4.61
207,hasaki,40,JP,1619266540,87,35.7333,140.8333,51.8,2.3
208,cermik,0,TR,1619266541,14,38.1361,39.4493,80.6,4.61
209,bathsheba,40,BB,1619266541,57,13.2167,-59.5167,82.4,19.57
210,fortuna,90,US,1619266541,100,40.5982,-124.1573,48.99,5.75
211,bakel,18,SN,1619266541,6,14.905,-12.4568,102.25,8.77
212,thompson,75,CA,1619266542,79,55.7435,-97.8558,10.4,3.04
213,tarata,40,BO,1619266542,58,-17.6167,-66.0167,60.01,4.61
214,katakwi,75,UG,1619266542,45,1.8911,33.9661,83.53,1.81
215,maragogi,55,BR,1619266543,67,-9.0122,-35.2225,83.16,10.36
216,ostersund,20,SE,1619266528,44,63.1792,14.6357,37.4,16.11
217,victoria,22,HK,1619266249,84,22.2855,114.1577,77.0,3.0
218,itapipoca,90,BR,1619266543,66,-3.4944,-39.5786,84.06,6.35
219,vodnyy,64,RU,1619266543,43,63.5046,53.4095,55.89,9.46
220,belmonte,40,BR,1619266544,74,-15.8631,-38.8828,80.6,2.3
221,aksarka,89,RU,1619266544,93,66.5606,67.7975,35.76,1.61
222,guerrero negro,51,MX,1619266468,90,27.9769,-114.0611,56.3,10.58
223,eureka,100,US,1619266470,95,40.8021,-124.1637,48.99,5.97
224,lagoa,85,PT,1619266544,76,39.05,-27.9833,58.28,28.36
225,santa marta,54,CO,1619266545,81,11.2408,-74.199,80.01,1.01
226,cherskiy,100,RU,1619266545,96,68.75,161.3,23.88,5.84
227,bilibino,100,RU,1619266545,93,68.0546,166.4372,21.72,2.62
228,lavrentiya,95,RU,1619266545,96,65.5833,-171.0,21.29,2.53
229,saint-paul,75,RE,1619266546,78,-21.0096,55.2707,78.8,25.32
230,mapimi,0,MX,1619266546,11,25.8167,-103.85,63.0,5.99
231,mahebourg,75,MU,1619266546,89,-20.4081,57.7,78.8,11.5
232,abonnema,75,NG,1619266547,78,4.7084,6.7931,80.6,9.22
233,betioky,10,MG,1619266547,23,-23.7167,44.3833,94.64,4.23
234,zhezkazgan,40,KZ,1619266547,14,47.8043,67.7144,59.0,24.61
235,vila,75,PT,1619266547,68,42.0304,-8.1588,68.0,5.75
236,teluk nibung,94,ID,1619266548,89,3.001,99.8164,77.49,5.64
237,shirokiy,73,RU,1619266548,32,49.758,129.523,44.15,13.4
238,caohai,41,CN,1619266548,75,26.8661,104.2841,61.63,10.29
239,torbay,75,CA,1619266549,70,47.6666,-52.7314,44.01,17.27
240,kargasok,56,RU,1619266549,89,59.0556,80.8572,40.57,1.36
241,cabo san lucas,1,MX,1619266549,55,22.8909,-109.9124,62.6,6.08
